source,line_label,mechanism,mechanism_label,x_eps,x_eps_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
ldp,LDP-MBM,mbm,MBM,0.01,0.01,3,20,94,4,4,0.001,0.01,0.25,none,77.90251121520996,2.515146110198223,76.63220024108887,2.2037569119276874,75.63496897697449,77.52603342056275,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.01/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_dceab36f3365730d,ldp|mbm|0.01,ldp|mbm|0.01
ldp,LDP-MBM,mbm,MBM,0.1,0.1,4,20,94,4,4,0.001,0.01,0.25,none,78.1536190032959,2.3310291053271692,76.91285133361816,1.950850002463523,76.03378943443299,77.75480081558227,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.1/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_6d0adb99f0d2dc0e,ldp|mbm|0.1,ldp|mbm|0.1
ldp,LDP-MBM,mbm,MBM,1,1,5,20,245,4,64,0.0001,0.0001,0.5,none,84.20974769592286,1.5994565733160044,83.78138732910156,1.214842293109898,83.33825605392457,84.2983738040924,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_342f8d3bdf252f61,ldp|mbm|1,ldp|mbm|1
ldp,LDP-MBM,mbm,MBM,2,2,6,20,246,5,64,0.0001,0.0001,0.75,none,84.48301239013672,1.5196205279767265,84.10635032653809,1.4828471690304512,83.4636245918274,84.74150582313538,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_d37b6f8c73840b60,ldp|mbm|2,ldp|mbm|2
ldp,LDP-MBM,mbm,MBM,3,3,7,20,252,4,64,0.0001,0.01,0.75,none,84.72673377990722,1.6119726094295652,84.16543464660644,1.226132812782992,83.6482631778717,84.68242150306702,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=3/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_c95aab53af007f84,ldp|mbm|3,ldp|mbm|3
ldp,LDP-MBM,mbm,MBM,4,4,8,20,226,5,64,0.01,0.01,0.25,none,83.93648376464844,1.3348902588967204,82.9394374847412,2.3204628925598643,81.98633423805236,83.8480422782898,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=4/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_1e287253e95262d4,ldp|mbm|4,ldp|mbm|4
ldp,LDP-MBM,mbm,MBM,5,5,9,20,238,4,64,0.001,0.01,0.25,none,84.32791633605957,2.0012919811594974,83.75184478759766,1.828649149849451,82.93943670272827,84.49076691627502,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=5/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_d923107dff04beb1,ldp|mbm|5,ldp|mbm|5
ldp,LDP-MBM,mbm,MBM,6,6,10,20,244,5,64,0.0001,0.0001,0.25,none,84.57902374267579,1.5635152833555195,84.05465240478516,1.2118844778867477,83.58179472923278,84.56425323486329,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=6/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_4caea507b17b6b64,ldp|mbm|6,ldp|mbm|6
ldp,LDP-MBM,mbm,MBM,7,7,11,20,214,1,32,0.0001,0.01,0.25,none,84.52732582092285,1.4085587911618915,83.6336769104004,1.4635147985369632,83.02067909240722,84.25406037330627,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=7/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_a645d48096fcf687,ldp|mbm|7,ldp|mbm|7
ldp,LDP-MBM,mbm,MBM,8,8,12,20,250,5,64,0.0001,0.01,0.25,none,84.682421875,1.3504761179779297,83.9438690185547,1.3125297301958714,83.36041257858277,84.46085550308227,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=8/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_aedf96ca9b8b59a9,ldp|mbm|8,ldp|mbm|8
