table,setting,dataset,backbone,feature_dim,smoother,seed,val_acc,test_acc
table6,FeatFree-HOA,cora,sage,800,hoa,12348,86.26292419433594,85.81979370117188
table6,FeatFree-HOA,cora,sage,800,hoa,12349,85.22895050048828,83.8995590209961
table6,FeatFree-HOA,cora,sage,800,hoa,12350,83.4564208984375,84.19497680664062
table6,FeatFree-HOA,cora,sage,800,hoa,12351,84.78582000732422,85.08123779296875
table6,FeatFree-HOA,cora,sage,800,hoa,12352,85.22895050048828,86.1152114868164
table6,FeatFree-HOA,cora,sage,800,hoa,12353,84.34268951416016,86.26292419433594
table6,FeatFree-HOA,cora,sage,800,hoa,12354,84.19497680664062,87.00147247314453
table6,FeatFree-HOA,cora,sage,1600,hoa,12345,83.01329040527344,84.78582000732422
table6,FeatFree-HOA,cora,sage,1600,hoa,12346,86.7060546875,85.08123779296875
table6,FeatFree-HOA,cora,sage,1600,hoa,12347,85.52436828613281,85.52436828613281
table6,FeatFree-HOA,cora,sage,1600,hoa,12348,86.7060546875,85.96749877929688
table6,FeatFree-HOA,cora,sage,1600,hoa,12349,85.22895050048828,83.60413360595703
table6,FeatFree-HOA,cora,sage,1600,hoa,12350,82.27474212646484,83.8995590209961
table6,FeatFree-HOA,cora,sage,1600,hoa,12351,84.93353271484375,84.34268951416016
table6,FeatFree-HOA,cora,sage,1600,hoa,12352,85.52436828613281,85.96749877929688
table6,FeatFree-HOA,cora,sage,1600,hoa,12353,83.75184631347656,85.37666320800781
table6,FeatFree-HOA,cora,sage,1600,hoa,12354,85.96749877929688,87.88774108886719
table6,FeatFree-HOA,cora,sage,3200,hoa,12345,83.16100311279297,85.22895050048828
table6,FeatFree-HOA,cora,sage,3200,hoa,12346,86.55834197998047,84.49039459228516
table6,FeatFree-HOA,cora,sage,3200,hoa,12347,84.93353271484375,84.49039459228516
table6,FeatFree-HOA,cora,sage,3200,hoa,12348,88.03544616699219,85.22895050048828
table6,FeatFree-HOA,cora,sage,3200,hoa,12349,85.52436828613281,82.86558532714844
table6,FeatFree-HOA,cora,sage,3200,hoa,12350,82.86558532714844,83.01329040527344
table6,FeatFree-HOA,cora,sage,3200,hoa,12351,84.93353271484375,85.37666320800781
table6,FeatFree-HOA,cora,sage,3200,hoa,12352,85.08123779296875,86.85376739501953
table6,FeatFree-HOA,cora,sage,3200,hoa,12353,83.3087158203125,84.78582000732422
table6,FeatFree-HOA,cora,sage,3200,hoa,12354,84.49039459228516,87.00147247314453
table6,FeatFree-HOA,lastfm,sage,800,hoa,12345,89.32806396484375,87.52117156982422
table6,FeatFree-HOA,lastfm,sage,800,hoa,12346,88.4810791015625,89.1586685180664
table6,FeatFree-HOA,lastfm,sage,800,hoa,12347,88.76341247558594,89.10220336914062
table6,FeatFree-HOA,lastfm,sage,800,hoa,12348,88.81986999511719,89.38452911376953
table6,FeatFree-HOA,lastfm,sage,800,hoa,12349,89.27159881591797,87.18238067626953
table6,FeatFree-HOA,lastfm,sage,800,hoa,12350,88.19876098632812,88.98927307128906
table6,FeatFree-HOA,lastfm,sage,800,hoa,12351,88.14229583740234,87.91642761230469
table6,FeatFree-HOA,lastfm,sage,800,hoa,12352,87.74703216552734,88.14229583740234
table6,FeatFree-HOA,lastfm,sage,800,hoa,12353,88.81986999511719,87.18238067626953
table6,FeatFree-HOA,lastfm,sage,800,hoa,12354,89.4974594116211,87.8599624633789
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12345,89.21512603759766,87.46470642089844
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12346,88.53755187988281,88.81986999511719
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12347,88.70694732666016,88.65047454833984
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12348,88.93280792236328,88.87633514404297
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12349,88.5940170288086,86.78712463378906
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12350,88.25521850585938,89.21512603759766
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12351,88.14229583740234,88.02935791015625
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12352,87.8599624633789,88.53755187988281
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12353,88.42461395263672,87.23884582519531
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12354,89.44098663330078,87.52117156982422
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12345,89.32806396484375,87.74703216552734
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12346,88.70694732666016,88.70694732666016
