source,backbone,dataset,x_eps,x_index,line_label,pipeline,smoother,feature_dim,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,test_acc_mean,test_acc_ci_low,test_acc_ci_high,test_acc_std,test_acc_min,test_acc_max,val_acc_mean,val_acc_ci_low,val_acc_ci_high,n,source_job_dir,actual_verify_rank,ci_method,point_id,bootstrap_key,bootstrap_val_key
main_add_10seed,gat,lastfm,0.1,2,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,211,32,0.0001,0.001,0.25,none,83.92433547973633,82.86264570236206,84.76016313552856,1.7363113012085896,81.81818389892578,86.22247314453125,84.21795349121093,82.99773782730102,85.18915710449218,10,,,,f1_ca361726a17676f2,main|gat|figure3_pipeline1|lastfm|0.1,main-val|gat|figure3_pipeline1|lastfm|0.1
main_add_10seed,gat,lastfm,1.0,3,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,205,32,0.0001,0.0,0.25,none,87.4082420349121,86.66247858047485,87.96724855422973,1.0580433248605106,84.98023986816406,88.65047454833984,87.87690200805665,87.49279783248902,88.30617830276489,10,,,,f1_5628afc3edbb75bb,main|gat|figure3_pipeline1|lastfm|1.0,main-val|gat|figure3_pipeline1|lastfm|1.0
main_add_10seed,gat,lastfm,10.0,9,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,167,16,0.001,0.01,0.5,none,87.97854156494141,87.40259628295898,88.50945440292358,0.9090923046072902,86.33540344238281,89.21512603759766,88.6674186706543,88.334130153656,88.98941417694091,10,,,,f1_00d9455cd2b118a4,main|gat|figure3_pipeline1|lastfm|10.0,main-val|gat|figure3_pipeline1|lastfm|10.0
main_add_10seed,gat,lastfm,2.0,4,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,154,16,0.01,0.01,0.25,none,87.7357406616211,87.21018978118896,88.21583856582642,0.8986477356601942,86.33540344238281,88.76341247558594,88.3794448852539,88.09147108078004,88.67871248245238,10,,,,f1_124e29deba7d30f4,main|gat|figure3_pipeline1|lastfm|2.0,main-val|gat|figure3_pipeline1|lastfm|2.0
main_add_10seed,gat,lastfm,3.0,5,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,155,16,0.01,0.01,0.5,none,87.83737869262696,87.28952409744262,88.38509216308594,0.957212211957195,86.10954284667969,89.32806396484375,88.49237670898438,88.24957733154297,88.72388160705566,10,,,,f1_750279831b184c41,main|gat|figure3_pipeline1|lastfm|3.0,main-val|gat|figure3_pipeline1|lastfm|3.0
main_add_10seed,gat,lastfm,4.0,6,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,155,16,0.01,0.01,0.5,none,87.89948959350586,87.43068616867066,88.35699995040893,0.8413345083714938,86.6741943359375,89.32806396484375,88.50931396484376,88.21569366455078,88.79728776931762,10,,,,f1_baf2c0849b49ad93,main|gat|figure3_pipeline1|lastfm|4.0,main-val|gat|figure3_pipeline1|lastfm|4.0
main_add_10seed,gat,lastfm,6.0,7,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,154,16,0.01,0.01,0.25,none,87.7075080871582,87.10333023071288,88.22727054595948,0.9350636094371452,85.94014739990234,88.65047454833984,88.41897125244141,88.17052305221559,88.6788543701172,10,,,,f1_5a3804bf2e896828,main|gat|figure3_pipeline1|lastfm|6.0,main-val|gat|figure3_pipeline1|lastfm|6.0
main_add_10seed,gat,lastfm,8.0,8,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,155,16,0.01,0.01,0.5,none,87.93336944580078,87.47021253585815,88.3965263557434,0.803427243662191,86.50479888916016,89.27159881591797,88.5883674621582,88.2721618461609,88.8877746963501,10,,,,f1_f74e818f13cafd0e,main|gat|figure3_pipeline1|lastfm|8.0,main-val|gat|figure3_pipeline1|lastfm|8.0
main_add_10seed,gat,citeseer,0.001,0,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,128,8,0.001,0.001,0.5,none,63.84615592956543,63.23317527770996,64.47115555763246,1.0612066124124673,62.139427185058594,65.74519348144531,65.20432929992675,64.09825947761536,66.43028985023498,10,,,,f1_d40dd3990a586161,main|gat|figure3_pipeline2|citeseer|0.001,main-val|gat|figure3_pipeline2|citeseer|0.001
main_add_10seed,gat,citeseer,0.01,1,$\mathsf{PrivGE}$,figure3_pipeline2,kprop,,94,4,0.001,0.01,0.25,none,63.43750152587891,62.355770111083984,64.75991731643677,2.0653811770249217,60.81730651855469,67.90865325927734,64.25481071472169,62.98047192573547,65.55318897247314,10,,,,f1_48ccfb7c62709267,main|gat|figure3_pipeline2|citeseer|0.01,main-val|gat|figure3_pipeline2|citeseer|0.01
