point_id,figure_id,dataset,backbone,seed,val_acc,test_acc
f1_90e160a32e29a924,1,cora,gat,12348,76.95716094970703,75.77548217773438
f1_90e160a32e29a924,1,cora,gat,12349,79.17282104492188,78.72969055175781
f1_90e160a32e29a924,1,cora,gat,12350,79.4682388305664,79.3205337524414
f1_90e160a32e29a924,1,cora,gat,12351,72.52584838867188,71.78730010986328
f1_90e160a32e29a924,1,cora,gat,12352,82.57015991210938,82.27474212646484
f1_90e160a32e29a924,1,cora,gat,12353,80.50221252441406,80.50221252441406
f1_90e160a32e29a924,1,cora,gat,12354,75.03692626953125,79.911376953125
f1_afeced9ba0926d17,1,cora,gat,12345,81.09305572509766,82.42245483398438
f1_afeced9ba0926d17,1,cora,gat,12346,85.67208099365234,81.68389892578125
f1_afeced9ba0926d17,1,cora,gat,12347,85.22895050048828,85.22895050048828
f1_afeced9ba0926d17,1,cora,gat,12348,83.75184631347656,83.01329040527344
f1_afeced9ba0926d17,1,cora,gat,12349,84.34268951416016,83.16100311279297
f1_afeced9ba0926d17,1,cora,gat,12350,81.97931671142578,80.79763793945312
f1_afeced9ba0926d17,1,cora,gat,12351,82.86558532714844,83.75184631347656
f1_afeced9ba0926d17,1,cora,gat,12352,83.75184631347656,83.4564208984375
f1_afeced9ba0926d17,1,cora,gat,12353,76.95716094970703,75.92318725585938
f1_afeced9ba0926d17,1,cora,gat,12354,76.0708999633789,77.4002914428711
f1_2cead9718b5313e9,1,cora,gat,12345,83.01329040527344,84.34268951416016
f1_2cead9718b5313e9,1,cora,gat,12346,86.55834197998047,85.52436828613281
f1_2cead9718b5313e9,1,cora,gat,12347,85.81979370117188,86.26292419433594
f1_2cead9718b5313e9,1,cora,gat,12348,86.85376739501953,84.93353271484375
f1_2cead9718b5313e9,1,cora,gat,12349,85.37666320800781,83.75184631347656
f1_2cead9718b5313e9,1,cora,gat,12350,84.0472640991211,83.01329040527344
f1_2cead9718b5313e9,1,cora,gat,12351,85.96749877929688,83.75184631347656
f1_2cead9718b5313e9,1,cora,gat,12352,85.37666320800781,86.55834197998047
f1_2cead9718b5313e9,1,cora,gat,12353,84.0472640991211,84.34268951416016
f1_2cead9718b5313e9,1,cora,gat,12354,85.37666320800781,86.41063690185547
f1_cdf6a4069c91efdd,1,cora,gat,12345,82.86558532714844,84.0472640991211
f1_cdf6a4069c91efdd,1,cora,gat,12346,85.96749877929688,84.34268951416016
f1_cdf6a4069c91efdd,1,cora,gat,12347,86.26292419433594,86.55834197998047
f1_cdf6a4069c91efdd,1,cora,gat,12348,86.7060546875,84.78582000732422
f1_cdf6a4069c91efdd,1,cora,gat,12349,85.22895050048828,83.8995590209961
f1_cdf6a4069c91efdd,1,cora,gat,12350,84.34268951416016,84.34268951416016
f1_cdf6a4069c91efdd,1,cora,gat,12351,84.19497680664062,84.93353271484375
f1_cdf6a4069c91efdd,1,cora,gat,12352,84.49039459228516,87.14918518066406
f1_cdf6a4069c91efdd,1,cora,gat,12353,83.01329040527344,83.60413360595703
f1_cdf6a4069c91efdd,1,cora,gat,12354,84.0472640991211,87.44461059570312
f1_68ba528ae8f53769,1,cora,gat,12345,82.57015991210938,83.75184631347656
f1_68ba528ae8f53769,1,cora,gat,12346,86.26292419433594,85.08123779296875
f1_68ba528ae8f53769,1,cora,gat,12347,85.81979370117188,85.52436828613281
f1_68ba528ae8f53769,1,cora,gat,12348,86.7060546875,85.37666320800781
f1_68ba528ae8f53769,1,cora,gat,12349,85.22895050048828,82.7178726196289
f1_68ba528ae8f53769,1,cora,gat,12350,84.78582000732422,83.75184631347656
f1_68ba528ae8f53769,1,cora,gat,12351,85.22895050048828,84.34268951416016
f1_68ba528ae8f53769,1,cora,gat,12352,85.22895050048828,85.37666320800781
f1_68ba528ae8f53769,1,cora,gat,12353,83.3087158203125,85.81979370117188
f1_68ba528ae8f53769,1,cora,gat,12354,85.08123779296875,86.55834197998047
f1_b91af11b8b0e6a85,1,cora,gat,12345,82.57015991210938,83.4564208984375
f1_b91af11b8b0e6a85,1,cora,gat,12346,86.26292419433594,83.8995590209961
f1_b91af11b8b0e6a85,1,cora,gat,12347,85.08123779296875,84.93353271484375
f1_b91af11b8b0e6a85,1,cora,gat,12348,85.67208099365234,84.93353271484375
f1_b91af11b8b0e6a85,1,cora,gat,12349,86.1152114868164,82.42245483398438
f1_b91af11b8b0e6a85,1,cora,gat,12350,83.60413360595703,83.4564208984375
f1_b91af11b8b0e6a85,1,cora,gat,12351,84.19497680664062,83.75184631347656
f1_b91af11b8b0e6a85,1,cora,gat,12352,85.22895050048828,86.1152114868164
f1_b91af11b8b0e6a85,1,cora,gat,12353,83.4564208984375,84.49039459228516
f1_b91af11b8b0e6a85,1,cora,gat,12354,84.49039459228516,86.1152114868164
f1_a197433838cb96b6,1,cora,gat,12345,82.42245483398438,84.49039459228516
f1_a197433838cb96b6,1,cora,gat,12346,86.26292419433594,84.34268951416016
f1_a197433838cb96b6,1,cora,gat,12347,86.1152114868164,86.55834197998047
f1_a197433838cb96b6,1,cora,gat,12348,87.14918518066406,84.63810729980469
f1_a197433838cb96b6,1,cora,gat,12349,85.81979370117188,84.0472640991211
f1_a197433838cb96b6,1,cora,gat,12350,84.0472640991211,84.34268951416016
f1_a197433838cb96b6,1,cora,gat,12351,85.22895050048828,83.8995590209961
f1_a197433838cb96b6,1,cora,gat,12352,85.08123779296875,86.41063690185547
f1_a197433838cb96b6,1,cora,gat,12353,84.19497680664062,84.78582000732422
f1_a197433838cb96b6,1,cora,gat,12354,85.22895050048828,86.41063690185547
f1_59f0b077c6539b13,1,cora,gat,12345,82.57015991210938,84.34268951416016
f1_59f0b077c6539b13,1,cora,gat,12346,86.1152114868164,84.19497680664062
f1_59f0b077c6539b13,1,cora,gat,12347,85.52436828613281,84.93353271484375
f1_59f0b077c6539b13,1,cora,gat,12348,86.85376739501953,84.78582000732422
f1_59f0b077c6539b13,1,cora,gat,12349,85.37666320800781,83.75184631347656
f1_59f0b077c6539b13,1,cora,gat,12350,84.93353271484375,82.7178726196289
f1_59f0b077c6539b13,1,cora,gat,12351,84.49039459228516,85.37666320800781
f1_59f0b077c6539b13,1,cora,gat,12352,84.78582000732422,87.44461059570312
f1_59f0b077c6539b13,1,cora,gat,12353,84.49039459228516,86.1152114868164
f1_59f0b077c6539b13,1,cora,gat,12354,84.19497680664062,84.93353271484375
f1_5398d67f6d3e7b41,1,facebook,gat,12345,84.97686004638672,84.10466003417969
f1_5398d67f6d3e7b41,1,facebook,gat,12346,85.70665740966797,85.43965911865234
f1_5398d67f6d3e7b41,1,facebook,gat,12347,83.73086547851562,82.82306671142578
f1_5398d67f6d3e7b41,1,facebook,gat,12348,85.42185974121094,86.06266021728516
f1_5398d67f6d3e7b41,1,facebook,gat,12349,80.88287353515625,80.24208068847656
f1_5398d67f6d3e7b41,1,facebook,gat,12350,86.8458480834961,86.13385772705078
f1_5398d67f6d3e7b41,1,facebook,gat,12351,82.2178726196289,82.05767059326172
f1_5398d67f6d3e7b41,1,facebook,gat,12352,83.55286407470703,83.03666687011719
f1_5398d67f6d3e7b41,1,facebook,gat,12353,85.3150634765625,84.9056625366211
f1_5398d67f6d3e7b41,1,facebook,gat,12354,82.25347137451172,80.81167602539062
f1_c1ce72001de7c18a,1,facebook,gat,12345,87.14845275878906,85.991455078125
f1_c1ce72001de7c18a,1,facebook,gat,12346,87.48664855957031,87.30865478515625
f1_c1ce72001de7c18a,1,facebook,gat,12347,87.37985229492188,87.11284637451172
f1_c1ce72001de7c18a,1,facebook,gat,12348,88.57244873046875,87.94944763183594
f1_c1ce72001de7c18a,1,facebook,gat,12349,84.67426300048828,85.63545989990234
f1_c1ce72001de7c18a,1,facebook,gat,12350,87.8248519897461,86.66785430908203
f1_c1ce72001de7c18a,1,facebook,gat,12351,86.383056640625,85.84906005859375
f1_c1ce72001de7c18a,1,facebook,gat,12352,83.37487030029297,82.91207122802734
f1_c1ce72001de7c18a,1,facebook,gat,12353,84.5318603515625,83.10787200927734
f1_c1ce72001de7c18a,1,facebook,gat,12354,86.29405212402344,85.04806518554688
f1_7e67745f4b282990,1,facebook,gat,12345,88.67924499511719,88.60804748535156
f1_7e67745f4b282990,1,facebook,gat,12346,90.5482406616211,89.88964080810547
f1_7e67745f4b282990,1,facebook,gat,12347,89.21324920654297,88.75044250488281
f1_7e67745f4b282990,1,facebook,gat,12348,90.22784423828125,90.24564361572266
f1_7e67745f4b282990,1,facebook,gat,12349,89.21324920654297,89.2844467163086
f1_7e67745f4b282990,1,facebook,gat,12350,91.72303009033203,90.29904174804688
f1_7e67745f4b282990,1,facebook,gat,12351,88.35884857177734,88.02064514160156
f1_7e67745f4b282990,1,facebook,gat,12352,89.23104095458984,89.23104095458984
f1_7e67745f4b282990,1,facebook,gat,12353,90.5482406616211,89.65824127197266
f1_7e67745f4b282990,1,facebook,gat,12354,89.67604064941406,89.71163940429688
f1_1edf63a600959440,1,facebook,gat,12345,93.16482543945312,92.38162994384766
f1_1edf63a600959440,1,facebook,gat,12346,93.52082824707031,92.8978271484375
f1_1edf63a600959440,1,facebook,gat,12347,93.2894287109375,92.70203399658203
f1_1edf63a600959440,1,facebook,gat,12348,93.25382995605469,93.46742248535156
f1_1edf63a600959440,1,facebook,gat,12349,92.48843383789062,92.64862823486328
f1_1edf63a600959440,1,facebook,gat,12350,94.39302062988281,93.04022979736328
f1_1edf63a600959440,1,facebook,gat,12351,92.86222839355469,92.7198257446289
f1_1edf63a600959440,1,facebook,gat,12352,93.20042419433594,92.96903228759766
f1_1edf63a600959440,1,facebook,gat,12353,93.05802917480469,92.82662963867188
f1_1edf63a600959440,1,facebook,gat,12354,93.7522201538086,92.45282745361328
f1_29eb8502b71b7d64,1,facebook,gat,12345,94.03702545166016,93.69882202148438
f1_29eb8502b71b7d64,1,facebook,gat,12346,94.10822296142578,93.71662902832031
f1_29eb8502b71b7d64,1,facebook,gat,12347,93.36062622070312,93.23603057861328
f1_29eb8502b71b7d64,1,facebook,gat,12348,93.2894287109375,93.69882202148438
f1_29eb8502b71b7d64,1,facebook,gat,12349,93.57422637939453,93.55642700195312
f1_29eb8502b71b7d64,1,facebook,gat,12350,94.90921783447266,93.55642700195312
f1_29eb8502b71b7d64,1,facebook,gat,12351,93.36062622070312,93.48522186279297
f1_29eb8502b71b7d64,1,facebook,gat,12352,93.77002716064453,92.96903228759766
f1_29eb8502b71b7d64,1,facebook,gat,12353,94.12602233886719,93.9480209350586
f1_29eb8502b71b7d64,1,facebook,gat,12354,94.10822296142578,93.98362731933594
f1_a3105810a18052af,1,facebook,gat,12345,93.68102264404297,93.46742248535156
f1_a3105810a18052af,1,facebook,gat,12346,93.78782653808594,93.2894287109375
f1_a3105810a18052af,1,facebook,gat,12347,94.10822296142578,93.3072280883789
f1_a3105810a18052af,1,facebook,gat,12348,93.60982513427734,93.6632308959961
f1_a3105810a18052af,1,facebook,gat,12349,93.21822357177734,93.34282684326172
f1_a3105810a18052af,1,facebook,gat,12350,94.87361907958984,93.3072280883789
f1_a3105810a18052af,1,facebook,gat,12351,93.43182373046875,93.69882202148438
f1_a3105810a18052af,1,facebook,gat,12352,93.37842559814453,92.86222839355469
f1_a3105810a18052af,1,facebook,gat,12353,93.78782653808594,93.16482543945312
f1_a3105810a18052af,1,facebook,gat,12354,94.00142669677734,92.95122528076172
f1_fc1ec200eb8bf07d,1,facebook,gat,12345,93.80562591552734,93.00462341308594
f1_fc1ec200eb8bf07d,1,facebook,gat,12346,93.87682342529297,93.34282684326172
f1_fc1ec200eb8bf07d,1,facebook,gat,12347,93.9658203125,93.32502746582031
f1_fc1ec200eb8bf07d,1,facebook,gat,12348,93.3072280883789,93.39622497558594
f1_fc1ec200eb8bf07d,1,facebook,gat,12349,93.36062622070312,93.85902404785156
f1_fc1ec200eb8bf07d,1,facebook,gat,12350,94.7312240600586,93.21822357177734
f1_fc1ec200eb8bf07d,1,facebook,gat,12351,93.32502746582031,93.20042419433594
f1_fc1ec200eb8bf07d,1,facebook,gat,12352,93.52082824707031,93.0758285522461
f1_fc1ec200eb8bf07d,1,facebook,gat,12353,93.85902404785156,93.5030288696289
f1_fc1ec200eb8bf07d,1,facebook,gat,12354,93.82342529296875,92.70203399658203
f1_350d9a4a6596092d,1,facebook,gat,12345,93.9658203125,93.21822357177734
f1_350d9a4a6596092d,1,facebook,gat,12346,93.71662902832031,93.16482543945312
f1_350d9a4a6596092d,1,facebook,gat,12347,93.93022918701172,93.60982513427734
f1_350d9a4a6596092d,1,facebook,gat,12348,93.60982513427734,93.87682342529297
f1_350d9a4a6596092d,1,facebook,gat,12349,92.96903228759766,93.32502746582031
f1_350d9a4a6596092d,1,facebook,gat,12350,94.78462219238281,93.43182373046875
f1_350d9a4a6596092d,1,facebook,gat,12351,93.2894287109375,93.32502746582031
f1_350d9a4a6596092d,1,facebook,gat,12352,93.48522186279297,92.91563415527344
f1_350d9a4a6596092d,1,facebook,gat,12353,94.12602233886719,93.44963073730469
f1_350d9a4a6596092d,1,facebook,gat,12354,94.10822296142578,93.20042419433594
f1_c8329f149061ea10,1,facebook,gat,12345,93.78782653808594,93.14702606201172
f1_c8329f149061ea10,1,facebook,gat,12346,94.10822296142578,93.34282684326172
f1_c8329f149061ea10,1,facebook,gat,12347,94.09042358398438,93.41402435302734
f1_c8329f149061ea10,1,facebook,gat,12348,93.43182373046875,93.2894287109375
f1_c8329f149061ea10,1,facebook,gat,12349,93.52082824707031,93.71662902832031
f1_c8329f149061ea10,1,facebook,gat,12350,94.60662078857422,93.2894287109375
f1_c8329f149061ea10,1,facebook,gat,12351,93.52082824707031,93.77002716064453
f1_c8329f149061ea10,1,facebook,gat,12352,93.53862762451172,92.96903228759766
f1_c8329f149061ea10,1,facebook,gat,12353,93.69882202148438,93.25382995605469
f1_c8329f149061ea10,1,facebook,gat,12354,93.89462280273438,92.95122528076172
f1_910d245b3facfd75,1,facebook,gat,12345,93.60982513427734,93.0758285522461
f1_910d245b3facfd75,1,facebook,gat,12346,94.01922607421875,92.86222839355469
f1_910d245b3facfd75,1,facebook,gat,12347,93.59202575683594,93.64542388916016
f1_910d245b3facfd75,1,facebook,gat,12348,93.60982513427734,93.98362731933594
f1_910d245b3facfd75,1,facebook,gat,12349,93.55642700195312,94.00142669677734
f1_910d245b3facfd75,1,facebook,gat,12350,94.55322265625,93.3072280883789
f1_910d245b3facfd75,1,facebook,gat,12351,93.3072280883789,93.73442840576172
f1_910d245b3facfd75,1,facebook,gat,12352,93.3072280883789,92.8800277709961
f1_910d245b3facfd75,1,facebook,gat,12353,93.98362731933594,93.1114273071289
f1_910d245b3facfd75,1,facebook,gat,12354,94.39302062988281,94.03702545166016
f1_fcef4049b53bd936,1,lastfm,gat,12345,84.24618530273438,82.6651611328125
f1_fcef4049b53bd936,1,lastfm,gat,12346,80.1806869506836,79.89836120605469
f1_fcef4049b53bd936,1,lastfm,gat,12347,82.0440444946289,81.30998992919922
f1_fcef4049b53bd936,1,lastfm,gat,12348,82.3828353881836,83.79446411132812
f1_fcef4049b53bd936,1,lastfm,gat,12349,80.91473388671875,78.0350112915039
f1_fcef4049b53bd936,1,lastfm,gat,12350,81.87464141845703,82.89102172851562
f1_fcef4049b53bd936,1,lastfm,gat,12351,83.568603515625,83.2862777709961
f1_fcef4049b53bd936,1,lastfm,gat,12352,79.95482635498047,78.20440673828125
f1_fcef4049b53bd936,1,lastfm,gat,12353,80.68887329101562,80.29361724853516
f1_fcef4049b53bd936,1,lastfm,gat,12354,79.05138397216797,77.07510375976562
f1_f498b3de5563b038,1,lastfm,gat,12345,84.64144134521484,83.17334747314453
f1_f498b3de5563b038,1,lastfm,gat,12346,84.02032470703125,83.11688232421875
f1_f498b3de5563b038,1,lastfm,gat,12347,83.17334747314453,83.62506866455078
f1_f498b3de5563b038,1,lastfm,gat,12348,83.568603515625,82.83455657958984
f1_f498b3de5563b038,1,lastfm,gat,12349,82.60869598388672,79.89836120605469
f1_f498b3de5563b038,1,lastfm,gat,12350,82.15697479248047,83.06041717529297
f1_f498b3de5563b038,1,lastfm,gat,12351,84.30265045166016,83.568603515625
f1_f498b3de5563b038,1,lastfm,gat,12352,83.17334747314453,81.98757934570312
f1_f498b3de5563b038,1,lastfm,gat,12353,81.02767181396484,80.80180358886719
f1_f498b3de5563b038,1,lastfm,gat,12354,82.10050201416016,80.40654754638672
f1_ca361726a17676f2,1,lastfm,gat,12345,84.35911560058594,83.45567321777344
f1_ca361726a17676f2,1,lastfm,gat,12346,85.82721710205078,85.94014739990234
f1_ca361726a17676f2,1,lastfm,gat,12347,85.6578140258789,86.22247314453125
f1_ca361726a17676f2,1,lastfm,gat,12348,81.366455078125,81.81818389892578
f1_ca361726a17676f2,1,lastfm,gat,12349,83.90739440917969,81.93110656738281
f1_ca361726a17676f2,1,lastfm,gat,12350,80.80180358886719,82.15697479248047
f1_ca361726a17676f2,1,lastfm,gat,12351,85.71428680419922,86.10954284667969
f1_ca361726a17676f2,1,lastfm,gat,12352,84.64144134521484,84.7543716430664
